available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,82,26515110,348024,283256,7184,31,0,5,0,35448,15,0,0,40,38.8017,22.2143,14,27.8226,62,84,11131866,151044,134708,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,82,26650722,355732,284016,7218,97,0,14,0,133424,15,0,0,40,39.706,22.8214,28,27.8477,197,84,13908252,207512,163744,4686,4,4,0,0,0,0,0,0,0,0,0,0,26,9
100,100,82,26516564,348216,283840,7206,176,0,29,0,165480,15,0,0,40,38.5909,22.3556,45,27.983,352,84,14847480,117644,167324,2692,127,62,11,0,48248,13,0,0,40,36.4279,19.9524,21,27.6466,249
100,100,82,26516784,346148,285460,7198,8,0,1,0,6456,0,0,0,0,0,0,2,28,23,106,8642514,54956,94760,1376,0,0,1,0,3112,0,0,0,0,35.8756,19,3,0,0
100,100,82,26652450,357292,285492,7389,151,1,32,0,173088,15,0,0,40,39.9678,19.2407,54,27.8924,288,106,13326628,80600,145868,1973,72,1,11,0,40568,13,0,0,40,37.2862,22.3158,19,27.9085,153
100,100,82,26517270,369096,286292,7579,217,1,31,0,284776,15,0,0,40,38.8826,22.5714,49,27.8724,439,106,13190642,81692,146556,1949,113,1,20,0,67248,13,0,0,40,35.8435,21.9268,41,27.8673,226
100,100,82,26652450,389532,285804,7941,362,1,61,0,451360,15,0,0,40,39.2944,22.3824,102,27.8648,710,106,13326628,80704,144996,1960,184,3,31,0,109384,13,0,0,40,36.7335,21.8551,69,27.8789,380
100,100,82,26652450,371696,286092,7741,50,0,7,0,59520,15,0,0,40,38.1848,22.7778,18,27.8529,102,106,13190642,167648,146260,4051,32,0,7,0,47368,13,0,0,40,36.6283,22.7143,21,27.875,56
100,100,82,26518076,369876,285432,7691,123,1,22,0,168824,15,0,0,40,39.2108,22.25,52,27.917,241,106,13326628,83772,146384,2030,65,3,11,0,38024,13,0,0,40,36.2825,22,26,27.9173,133
100,100,82,26517270,377728,286100,7653,411,1,77,0,500072,15,0,0,40,39.6564,21.1769,147,27.8495,804,106,13337142,81756,147444,2080,212,3,37,0,129064,13,0,0,40,36.8816,21.7361,72,27.8874,435
