available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,75,13232002,184132,143944,4325,80,0,16,0,100136,15,0,0,40,39.6057,22.2727,33,27.8247,154
100,100,75,13326628,183040,144240,4396,109,0,23,0,177072,15,0,0,40,39.6792,22.5,44,27.8565,216
100,100,75,13223578,171680,144504,3925,189,0,44,0,207168,15,0,0,40,39.4592,21.7882,85,27.6962,372
100,100,75,13337142,171392,144628,3891,213,0,41,0,280576,15,0,0,40,39.6944,22.5745,94,27.9113,417
100,100,75,13190642,178724,142840,4263,280,0,66,0,413728,15,0,0,40,39.0703,21.0071,140,27.8945,550
100,100,75,13326628,177684,143976,4166,25,0,4,0,33448,15,0,0,40,39.9211,22.6,10,27.9474,57
100,100,75,13190642,183040,143556,4302,96,0,20,0,129552,15,0,0,40,39.5126,22.2778,36,27.8777,188
100,100,75,13326628,185016,143416,4266,129,0,26,0,168440,15,0,0,40,39.2177,22.4423,52,27.9245,265
100,100,76,13201156,187200,144152,4462,15,0,2,0,13280,15,0,0,40,40.9589,22.5,6,27.9355,31
100,100,76,13326628,192036,143644,4401,54,0,10,0,67912,15,0,0,40,39.505,22.6875,16,27.9439,107
100,100,76,13190642,184548,142940,4349,120,0,21,0,123320,15,0,0,40,39.7351,22.7209,43,27.9331,239
100,100,76,13199654,172588,142240,4124,0,0,1,0,7992,0,0,0,40,40.7897,24,3,0,0
100,100,76,13326628,179660,142648,4305,71,0,16,0,117280,15,0,0,40,40.5686,22.4688,32,27.8958,144
100,100,76,13326628,173628,143436,4176,147,0,26,0,174288,15,0,0,40,40.2363,22.5094,53,27.8767,292
100,100,76,13326628,166192,143232,3906,247,0,49,0,328712,15,0,0,40,39.7116,22.64,100,27.9,490
100,100,76,13190642,188136,142500,4345,30,0,7,0,60008,15,0,0,40,40.1216,22.9333,15,27.9184,49
100,100,76,13326628,189904,143236,4576,64,1,12,0,78976,15,0,0,40,40.2232,22.2258,31,27.872,125
100,100,76,13326628,200148,143228,4613,165,0,31,0,246336,15,0,0,40,39.979,22.6508,63,27.9091,330
100,100,76,13326628,182884,143252,4376,84,0,16,0,128904,15,0,0,40,38.9288,22.6897,29,27.8876,178
100,100,76,13190642,193752,143136,4518,255,0,49,0,337816,15,0,0,40,40.2824,22.5743,101,27.8976,508
100,100,76,13326628,198796,142136,4721,34,0,8,0,57768,15,0,0,40,40.7482,22.6111,18,27.8438,64
100,100,76,13326628,198276,142848,4747,109,0,20,0,159664,15,0,0,40,39.9039,22.5714,35,27.934,212
100,100,76,13190642,189800,143240,4612,180,0,35,0,277784,15,0,0,40,39.4452,22.6452,62,27.9025,359
100,100,76,13326628,191464,142844,4577,210,0,41,0,335520,15,0,0,40,39.3006,22.5733,75,27.905,421
100,100,76,13326628,173680,143132,4131,285,0,56,0,357520,15,0,0,40,40.0867,22.5429,105,27.9078,564
100,100,76,13326628,167284,142640,3975,25,0,6,0,39944,15,0,0,40,39.9547,22.0714,14,27.9796,49
100,100,76,13190642,177580,142240,4338,60,0,13,0,102384,15,0,0,40,40.3639,22.6176,34,27.8926,121
100,100,76,13326628,176540,142748,4230,127,1,24,0,139008,15,0,0,40,39.9891,22.4444,54,27.8846,260
100,100,76,13326628,185068,143152,4453,220,0,46,0,353768,15,0,0,40,40.3755,22.6737,95,27.9181,452
