available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,45093280,324609,481960,7862,95,0,27,0,87016,15,0,0,30,104.423,19.566,53,27.8196,194,55836120,378637,602472,9390,92,1,18,0,58656,15,0,0,30,104.478,22,39,27.8307,189
100,100,6663314,44720,70804,1064,115,0,19,0,67800,15,0,0,30,104.467,22.0278,36,27.6891,238,6663314,43368,71736,1114,107,0,19,0,67736,15,0,0,30,104.513,21.6341,41,27.863,219
100,100,6663314,45500,70860,1097,132,0,28,0,84064,15,0,0,30,104.373,20.4915,59,27.7662,278,6663314,42640,71740,1094,129,2,22,0,74720,15,0,0,30,104.472,22.1707,41,27.891,266
100,100,6663314,45084,70664,1092,149,0,33,0,103448,15,0,0,30,104.458,21.5634,71,27.7599,304,6663314,42640,71916,1035,142,2,29,0,98456,15,0,0,30,104.479,22.1429,63,27.8591,298
100,100,6527328,45864,70948,1146,20,0,4,0,18864,15,0,0,30,0,0,5,27.5455,33,6545352,42692,71608,1057,17,0,4,0,13152,15,0,0,30,104.513,21.5,8,27.8621,29
100,100,6663314,46592,71176,1078,37,0,9,0,30856,15,0,0,30,104.506,22.3043,23,27.7033,91,6645290,41080,71852,992,34,0,8,0,26544,15,0,0,30,104.471,21.619,21,27.9048,63
100,100,6663314,44148,71184,1036,56,0,10,0,36176,15,0,0,30,104.498,22.0556,18,27.6475,122,6663314,41600,71912,1004,54,0,10,0,33360,15,0,0,30,104.481,22.381,21,27.875,104
100,100,6663314,44876,70736,1035,74,0,12,0,41680,15,0,0,30,104.436,21.619,21,27.7867,150,6663314,42640,71888,1008,70,0,17,0,46744,15,0,0,30,104.455,21.2759,29,27.9589,146
100,100,6663314,45656,70728,1139,89,0,17,0,53336,15,0,0,30,104.395,21.8438,32,27.8142,183,6663314,45136,71792,1149,83,0,17,0,58840,15,0,0,30,104.476,21.7368,38,27.9126,183
100,100,6663314,44096,70960,1036,106,0,23,0,76616,15,0,0,30,104.443,21.6222,45,27.831,213,6663314,42952,71416,1063,100,2,19,0,66792,15,0,0,30,104.482,21.6977,43,27.8366,202
100,100,6527328,44876,70908,1099,130,0,22,0,76160,15,0,0,30,104.442,21.7755,49,27.7454,271,6527328,44980,71144,1145,121,0,26,0,86096,15,0,0,30,104.425,21.5345,58,27.9,240
100,100,6663314,41860,70264,983,132,0,20,0,66992,15,0,0,30,104.444,21.8529,34,27.9259,270,6663314,40612,71668,978,131,0,27,0,84136,15,0,0,30,104.471,22.0169,59,27.9328,268
100,100,6663314,44564,71424,1138,7,0,1,0,4136,15,0,0,30,0,0,2,28,16,6663314,42640,71644,1022,6,0,3,0,11512,15,0,0,30,0,0,4,28,20
100,100,6663314,46124,71152,1139,23,0,6,0,18656,15,0,0,30,104.406,21.8,15,27.9672,61,6663314,42380,72116,1043,25,0,5,0,23624,15,0,0,30,104.544,22.3333,9,27.9667,60
100,100,6663314,43940,70776,1027,49,0,9,0,25432,15,0,0,30,104.252,21.6,20,27.7778,99,6663314,41704,71180,999,44,0,9,0,30920,15,0,0,30,104.504,21.9444,18,27.9186,86
100,100,6663314,45136,70776,1098,64,0,12,0,41984,15,0,0,30,104.484,21.9545,22,27.7721,136,6663314,43316,71604,1051,60,0,11,0,39608,15,0,0,30,104.507,22.5,26,27.9147,129
100,100,6527328,44668,71064,1122,83,0,15,0,45832,15,0,0,30,104.28,21.9706,34,27.8439,173,6527328,42588,71468,1089,77,0,12,0,49760,15,0,0,30,104.524,22.1852,27,27.8466,163
100,100,6663314,43992,71200,1083,106,0,20,0,72720,15,0,0,30,104.452,21.5778,45,27.721,233,6663314,41860,72220,1012,101,3,21,0,73400,15,0,0,30,104.436,21.8627,51,27.8943,227
100,100,6663314,43472,70600,1041,116,0,27,0,76920,15,0,0,30,104.43,21.8302,53,27.8101,258,6663314,41392,71392,961,112,1,19,0,66712,15,0,0,30,104.503,22,43,27.9214,229
