available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,38837979,266876,416436,6310,92,0,14,0,51792,15,0,0,30,104.287,22.1,30,27.8596,178
100,100,4623524,30784,49552,765,96,0,15,0,62552,15,0,0,30,104.533,21.875,24,27.8919,185
100,100,4709138,30264,49524,712,0,0,1,0,3496,15,0,0,0,0,0,1,0,0
100,100,4673896,30576,50496,734,17,0,2,0,7888,15,0,0,30,0,0,3,27.8776,49
100,100,4623524,29952,50068,705,37,0,5,0,15032,15,0,0,30,104.376,20.9091,11,27.8125,64
100,100,4623524,31044,49568,715,46,0,5,0,22344,15,0,0,30,104.537,22.4,10,27.9111,90
100,100,4623524,31148,49552,701,61,0,10,0,32848,15,0,0,30,104.497,21.5789,19,27.871,124
100,100,4623524,29536,49528,695,62,0,16,0,51456,15,0,0,30,104.465,21.9286,28,27.878,123
100,100,4759510,30212,50156,730,77,0,18,0,68688,15,0,0,30,104.505,21.7273,33,27.8176,170
100,100,4623524,31668,50260,711,92,0,16,0,57376,15,0,0,30,104.463,21.7778,36,27.8785,181
100,100,4623524,31200,49720,761,7,0,0,0,0,15,0,0,0,0,0,0,27.8462,13
100,100,4623524,31720,49548,760,16,0,1,0,4136,15,0,0,30,104.528,22,3,27.8125,32
100,100,4623524,30992,49560,746,30,0,6,0,27760,15,0,0,30,104.533,22.4286,14,27.9333,60
100,100,4623524,31096,49556,725,31,0,8,0,37056,15,0,0,30,104.537,22.5625,16,27.9194,62
100,100,4759510,30992,50748,794,49,0,8,0,30016,15,0,0,30,104.519,22.2,20,27.913,115
100,100,4623524,30888,49808,752,76,0,13,0,42488,15,0,0,30,104.44,22.1613,31,27.8667,150
100,100,4623524,31200,49540,761,78,0,12,0,48448,15,0,0,30,104.517,22.2069,29,27.8601,193
100,100,4623524,30056,49532,688,92,0,14,0,50912,15,0,0,30,104.453,21.6667,24,27.8867,203
100,100,4623524,29640,49532,720,97,0,19,0,65048,15,0,0,30,104.494,22.2353,34,27.8877,187
100,100,4759510,29796,49784,717,8,0,3,0,5944,15,0,0,0,104.39,22,8,28,4
100,100,4623524,30628,50828,734,28,0,3,0,11064,15,0,0,30,104.512,22.375,8,27.8961,77
100,100,4623524,31876,49568,759,45,0,5,0,21512,15,0,0,30,104.387,21.5,12,27.9043,94
100,100,4623524,29380,49540,719,46,0,7,0,28184,15,0,0,30,104.537,22,12,27.9222,90
100,100,4623524,29068,49552,768,61,0,10,0,34544,15,0,0,30,104.516,21.3333,15,27.7937,126
100,100,4623524,29692,49536,671,75,0,12,0,44048,15,0,0,30,104.461,21.76,25,27.7756,156
100,100,4759510,30576,50552,740,80,0,14,0,57984,15,0,0,30,104.513,21.8667,30,27.895,181
100,100,4623524,33696,49860,775,102,0,19,0,70152,15,0,0,30,104.491,21.4048,42,27.7593,216
100,100,4623524,31616,49704,773,13,0,1,0,4136,15,0,0,30,0,0,2,27.7576,33
100,100,4623524,29328,49576,740,20,0,4,0,11168,15,0,0,30,0,0,7,27.8421,38
100,100,4623524,30680,49568,719,30,0,7,0,25144,15,0,0,30,104.518,22,17,27.9365,63
100,100,4759510,29796,49812,684,44,0,6,0,23024,15,0,0,30,0,0,11,27.9091,77
100,100,4623524,30160,50740,715,56,0,11,0,40616,15,0,0,30,104.516,21.7917,24,27.8537,123
100,100,4623524,31928,49556,786,76,0,12,0,46560,15,0,0,30,104.516,21.8696,23,27.8889,153
