available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,70,68482883,722409,735220,15104,152,0,25,0,152136,15,0,0,40,37.286,22.0175,57,27.8874,302
100,100,70,19989136,239252,213208,4823,197,0,37,0,124632,15,0,0,40,37.2839,21.4925,67,27.8934,394
100,100,70,19854762,120068,214276,2662,250,0,43,0,140856,15,0,0,40,36.8996,21.4235,85,27.8902,510
100,100,70,19917040,119288,212996,2665,300,0,56,0,191384,15,0,0,40,36.4774,19.9211,114,27.9067,600
100,100,70,19926858,122824,214476,2727,354,0,61,0,200280,15,0,0,40,36.6994,21.4766,128,27.8889,720
100,100,70,19853956,120588,213004,2704,405,0,74,0,227608,15,0,0,40,36.2561,20.5,140,27.8888,809
100,100,70,19989942,179920,214588,3759,31,0,5,0,18408,15,0,0,40,37.3737,22.5,12,27.8793,58
100,100,70,19853956,120536,213032,2699,81,0,13,0,41176,15,0,0,40,36.3582,21.0769,26,27.9067,150
100,100,70,19989136,190736,214536,3957,133,0,21,0,156616,15,0,0,40,37.4509,22.3889,36,27.8593,270
100,100,70,19854762,278824,213292,5791,182,0,31,0,261344,15,0,0,40,37.9185,22.5082,61,27.8861,360
100,100,70,19989942,226408,214316,4659,232,0,47,0,136512,15,0,0,40,35.945,19.043,93,27.8947,475
100,100,70,19853956,119912,213184,2662,285,0,47,0,159976,15,0,0,40,36.7963,21.2128,94,27.9018,570
100,100,70,19989942,118976,214536,2667,335,0,59,0,200344,15,0,0,40,36.9726,21.4651,129,27.8903,684
100,100,70,19853956,119496,213288,2651,390,0,62,0,201536,15,0,0,40,36.5966,21.1513,119,27.8932,777
100,100,70,19853956,120068,213392,2647,65,0,8,0,32960,15,0,0,40,37.4341,21.7333,15,27.8618,123
100,100,70,19989942,119496,214028,2635,112,0,22,0,65560,15,0,0,40,36.217,18.8605,43,27.8913,230
100,100,70,19853956,120588,213496,2722,167,0,28,0,90048,15,0,0,40,36.9568,21.4423,52,27.8754,329
100,100,70,19989136,119392,213924,2634,212,0,33,0,111704,15,0,0,40,36.9484,21.2609,69,27.9126,435
100,100,70,19854762,121524,213800,2735,271,1,47,0,175464,15,0,0,40,37.2437,21.6279,86,27.8872,541
100,100,70,19989136,119600,213828,2680,316,0,52,0,167024,15,0,0,40,36.651,21.1545,110,27.8918,647
100,100,70,19854762,119288,213692,2609,375,0,58,0,187312,15,0,0,40,36.4907,20.3833,120,27.8936,752
100,100,70,19989136,120016,213732,2733,420,0,76,0,262576,15,0,0,40,37.0145,21.4304,158,27.9016,854
100,100,70,19854762,120224,213788,2653,50,0,6,0,21744,15,0,0,40,37.3488,20.4667,15,27.8523,88
100,100,70,19989136,119548,213540,2677,93,0,23,0,64864,15,0,0,40,35.9983,19.3,50,27.8737,190
100,100,70,19854762,119184,213992,2671,150,0,25,0,83880,15,0,0,40,36.8464,21.2745,51,27.893,299
100,100,70,19989136,117884,213436,2582,195,0,32,0,98896,15,0,0,40,36.4839,20.8197,61,27.8995,398
100,100,70,19854762,120016,214096,2676,253,0,41,0,151336,15,0,0,40,37.3573,21.5556,81,27.8982,511
100,100,70,19989136,119548,213364,2669,301,0,55,0,163704,15,0,0,40,36.0012,19.7355,121,27.8944,606
100,100,70,19854762,118248,214252,2666,359,0,60,0,200688,15,0,0,40,36.9122,21.025,120,27.8753,722
100,100,70,19854762,119756,214444,2647,30,0,3,0,11384,15,0,0,40,37.9939,21.4,5,27.8871,62
100,100,70,19989136,121368,213284,2791,78,0,13,0,44904,15,0,0,40,37.3085,21.3333,21,27.8718,156
100,100,70,19854762,117936,214652,2605,132,0,20,0,68064,15,0,0,40,36.5405,21.4545,44,27.8967,271
100,100,70,19989136,117988,213228,2592,181,0,34,0,114648,15,0,0,40,36.6008,19.5909,66,27.8911,358
100,100,70,19854762,118612,214812,2668,235,0,38,0,124480,15,0,0,40,36.9856,21.2466,73,27.895,476
100,100,70,19909530,119340,213268,2659,286,0,52,0,163912,15,0,0,40,36.2955,19.1881,101,27.8899,572
100,100,70,19934368,117572,214968,2623,343,0,55,0,195736,15,0,0,40,37.1817,21.5,102,27.8638,705
100,100,70,19989942,119028,215028,2631,12,0,3,0,11512,15,0,0,40,37.1534,22,9,27.9333,30
100,100,70,19853956,118976,213352,2685,61,0,10,0,34544,15,0,0,40,37.294,21.3333,21,27.9412,119
100,100,70,19989942,117468,215032,2586,113,0,23,0,63728,15,0,0,40,35.8954,18.2955,44,27.8583,240
100,100,70,19853956,118716,213272,2759,169,0,27,0,96984,15,0,0,40,37.3327,21.7636,55,27.8081,344
100,100,70,19989942,118716,214644,2677,221,0,34,0,117712,15,0,0,40,36.5702,21.4507,71,27.8755,458
100,100,70,19989942,221988,214724,4642,323,0,52,0,409768,15,0,0,40,38.1613,22.5189,106,27.8832,659
100,100,70,19853956,279968,213792,5678,380,0,62,0,478480,15,0,0,40,37.8325,22.4496,129,27.8598,756
