available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,72,330254808,4453409,3548076,95801,15,0,1,0,4136,15,0,0,0,0,0,2,27.7931,29
100,100,72,26517270,158132,285928,3383,82,0,11,0,43688,15,0,0,40,37.2937,21.9032,31,27.8778,180
100,100,72,26518076,159328,285388,3407,158,0,22,0,75712,15,0,0,40,36.3759,21.1224,49,27.8459,305
100,100,72,26652450,158756,285776,3359,225,0,32,0,115168,15,0,0,40,36.7585,21.873,63,27.8427,445
100,100,72,26517270,157820,286096,3368,298,0,42,0,146208,15,0,0,40,36.8711,21.7059,85,27.8564,599
100,100,72,26518076,160004,285328,3358,365,0,52,0,189680,15,0,0,40,36.8222,21.7113,97,27.8252,738
100,100,72,26652450,158756,285260,3338,435,0,65,0,220248,15,0,0,40,36.4411,21.1757,148,27.8519,864
100,100,72,26517270,351104,285556,7573,509,0,84,0,668976,15,0,0,40,37.7041,22.4379,153,27.8216,1020
100,100,72,26518076,384124,285564,8185,587,0,103,0,791696,15,0,0,40,37.4447,21.7324,213,27.7521,1174
100,100,72,26652450,366964,285568,7825,62,0,9,0,40200,15,0,0,40,37.4323,22,19,27.8492,126
100,100,72,26517270,256516,285784,5383,129,0,19,0,69176,15,0,0,40,37.17,22,39,27.837,270
100,100,72,26517270,240812,285508,5074,208,0,31,0,280312,15,0,0,40,37.904,22.6462,65,27.7911,407
100,100,72,26573650,381160,285352,8171,280,0,45,0,367904,15,0,0,40,37.4376,22.2843,102,27.83,547
100,100,72,26596876,332696,285988,7125,343,0,59,0,459936,15,0,0,40,37.7299,22.2903,124,27.847,693
100,100,72,26517270,330148,285936,6999,417,0,65,0,546944,15,0,0,40,37.7049,22.4831,118,27.8043,838
100,100,72,26518076,368576,285088,7837,491,0,76,0,581968,15,0,0,40,37.7108,22.6316,133,27.7895,969
100,100,72,26652450,369304,285764,7954,555,0,91,0,699960,15,0,0,40,37.8359,22.2849,179,27.8296,1115
100,100,72,26517270,377260,285600,8123,39,0,4,0,31312,15,0,0,40,0,0,4,27.8427,89
100,100,72,26518076,380952,285208,8167,110,0,19,0,156584,15,0,0,40,37.434,22.2162,37,27.8333,216
100,100,72,26652450,380016,285432,7977,180,0,27,0,231408,15,0,0,40,37.7429,22.5238,63,27.8141,355
100,100,72,26517270,371540,285680,7991,252,0,46,0,359168,15,0,0,40,37.546,22.1158,95,27.8446,502
100,100,72,26517270,380380,285008,8150,321,0,47,0,411816,15,0,0,40,37.9253,22.5055,91,27.8182,649
100,100,72,26653256,237224,285120,4979,390,0,57,0,203016,15,0,0,40,36.5195,21.45,120,27.8217,785
100,100,72,26517270,159120,285540,3353,459,0,67,0,235880,15,0,0,40,36.7693,21.447,132,27.8528,917
100,100,72,26518076,363688,284900,8014,534,0,82,0,713720,15,0,0,40,37.8482,22.4286,182,27.8428,1062
100,100,72,26652450,377936,284908,8227,15,0,3,0,23152,15,0,0,40,38.1238,22.1429,7,27.9643,28
100,100,72,26517270,380172,285464,8078,82,0,14,0,125616,15,0,0,40,37.7198,22.5,28,27.8588,177
100,100,72,26518076,268216,284980,5858,158,0,23,0,208864,15,0,0,40,38.0931,22.8095,42,27.8258,310
100,100,72,26571342,350532,284788,7719,229,0,39,0,339688,15,0,0,40,37.7227,22.4189,74,27.8401,444
100,100,72,26598378,250640,285376,5484,293,0,41,0,152872,15,0,0,40,36.7974,21.4286,84,27.8358,603
