available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,72,19854762,119028,214504,2750,184,0,29,0,101032,15,0,0,40,38.8994,21.9615,52,27.8992,367
100,100,72,19989136,230828,214732,4846,238,1,45,0,276576,15,0,0,40,39.0707,22.02,100,27.88,475
100,100,72,19854762,250848,215968,5199,53,0,13,0,63272,15,0,0,40,39.4198,22.24,25,27.9009,111
100,100,72,19989136,249756,215864,5209,105,0,19,0,126056,15,0,0,40,39.4538,22.7812,32,27.8884,215
100,100,72,19854762,251472,215312,5159,159,1,34,0,181224,15,0,0,40,38.9187,21.6852,54,27.9469,320
100,100,72,19989136,252096,214884,5164,211,1,45,0,227504,15,0,0,40,39.0891,22.0278,72,27.8979,421
100,100,72,19989136,250640,216464,5257,90,0,12,0,93920,15,0,0,40,38.9204,22.3846,26,27.8678,174
100,100,72,19854762,251212,216548,5228,140,0,32,0,160808,15,0,0,40,38.9985,21.8039,51,27.8968,281
100,100,72,19950084,246688,214976,5089,197,1,39,0,212120,15,0,0,40,39.1658,22.3699,73,27.8863,387
100,100,72,19854762,247416,215332,5067,297,1,60,0,329536,15,0,0,40,37.9411,22.2698,126,27.8934,591
100,100,72,19989942,247416,215500,5119,21,1,4,0,30160,14,0,0,0,38.0261,22.4545,11,27.9773,44
100,100,72,19853956,247832,215340,5147,72,0,14,0,75328,15,0,0,40,37.8436,22.1786,28,27.9437,142
100,100,72,19854762,248340,216656,5192,181,0,35,0,209680,15,0,0,40,39.0529,22.3684,76,27.8972,360
100,100,72,19989942,115336,214832,2816,228,1,39,0,129688,15,0,0,40,38.5083,21.5679,81,27.8319,458
100,100,72,19989942,113984,215332,2877,2,0,1,0,4136,0,0,0,0,39.3703,22,3,28,6
100,100,72,19853956,114296,214804,2788,56,0,9,0,32328,15,0,0,40,38.8529,21.5333,15,27.9469,113
100,100,72,19989942,114660,215600,2894,106,0,25,0,68912,15,0,0,40,38.1246,18.0208,48,27.892,213
100,100,72,19989942,113776,214736,2820,209,1,47,0,120656,15,0,0,40,37.8099,15.3488,86,27.9187,418
100,100,72,19853956,113828,215048,2934,261,0,63,0,159920,15,0,0,40,37.4469,17.4504,131,27.9042,522
100,100,72,19989942,113672,215532,2817,317,3,60,0,173376,15,0,0,40,38.004,18.56,125,27.7984,635
100,100,72,19853956,273104,214932,5652,365,1,76,0,488352,15,0,0,40,39.1204,22.2649,151,27.8848,729
100,100,72,19854762,292396,215396,6073,38,0,8,0,49600,15,0,0,40,39.5707,22.3571,14,27.9211,76
100,100,72,20000402,250636,216248,5266,91,0,25,0,55864,15,0,0,40,37.0208,14.3269,52,27.9278,180
100,100,72,19853956,208572,215452,4537,141,1,34,0,187168,15,0,0,40,38.496,21.987,77,27.9225,284
100,100,72,19989136,291668,214880,6079,193,0,42,0,250576,15,0,0,40,39.0006,22.2338,77,27.8924,381
100,100,72,19989136,289640,215896,5945,298,2,55,0,387064,15,0,0,40,39.3297,22.5138,109,27.9106,593
100,100,72,19854762,113516,215596,2843,21,0,4,0,11280,15,0,0,40,38.0505,21.1111,9,27.9535,43
100,100,72,19999596,115388,215660,2902,74,0,13,0,43736,15,0,0,40,38.8247,21.4483,29,27.9504,141
100,100,72,19854762,113672,214880,2889,123,0,27,0,70400,15,0,0,40,37.9322,18.3571,56,27.9218,243
100,100,72,19939570,169988,215016,3887,176,0,36,0,220800,15,0,0,40,39.1644,22.3375,80,27.8963,347
100,100,72,19854762,266916,215128,5530,280,0,51,0,390672,15,0,0,40,38.9875,22.3107,103,27.8285,554
100,100,72,19854762,290940,215796,6020,56,0,10,0,76080,15,0,0,40,39.4401,22.75,20,27.9167,108
100,100,72,19989136,289952,215908,5862,209,0,44,0,278120,15,0,0,40,38.9365,21.8511,94,27.8269,416
100,100,72,19854762,279292,215924,5868,262,1,55,0,264592,15,0,0,40,38.5139,20.2451,102,27.914,523
100,100,72,19989942,287612,215768,6025,318,2,73,0,420616,15,0,0,40,37.7585,22.136,125,27.915,635
100,100,72,19853956,290472,215420,6004,366,1,75,0,487520,15,0,0,40,38.108,22.4027,149,27.8581,733
100,100,72,19854762,291928,215772,5982,39,0,10,0,42720,15,0,0,40,37.6405,21.9,30,27.961,77
100,100,72,19989136,289224,216204,6008,88,0,16,0,124832,15,0,0,40,38.4785,22.5455,33,27.8864,176
100,100,72,19854762,291252,215600,6029,143,0,28,0,188864,15,0,0,40,38.0338,22.2979,47,27.9152,283
100,100,72,19989136,283660,215404,5840,192,1,48,0,233680,15,0,0,40,37.2735,20.8529,102,27.9326,386
100,100,72,19854762,289900,214948,6048,244,0,52,0,325336,15,0,0,40,37.9876,22.2315,108,27.9016,488
100,100,72,19989136,290472,215392,5921,299,3,59,0,380080,15,0,0,40,37.8151,22.1452,124,27.9259,594
100,100,72,19854762,290368,215596,5961,349,3,65,0,464120,15,0,0,40,38.1018,22.48,125,27.8941,699
100,100,72,19854762,246428,216600,5119,128,2,30,0,123824,15,0,0,40,37.5065,21.7213,61,27.9377,257
100,100,72,19989136,245284,215112,5051,175,0,39,0,196376,15,0,0,40,37.741,22.2125,80,27.8988,346
100,100,72,19853956,232024,215464,4868,228,0,51,0,249600,15,0,0,40,37.033,19.9029,103,27.8945,455
100,100,72,19989942,193232,215116,4143,280,0,53,0,175952,15,0,0,40,36.2461,19.7921,101,27.8219,556
