available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,9193030,128308,100340,3270,15,0,4,0,20400,15,0,0,30,104.539,22.3636,11,27.8966,29
100,100,1359860,17316,14768,465,15,0,5,0,30696,15,0,0,30,104.4,22.4545,11,27.9667,30
100,100,1339528,16224,14544,461,26,0,5,0,23512,15,0,0,30,104.543,22,11,27.7288,59
100,100,1244206,16640,13492,396,17,0,3,0,17416,15,0,0,30,0,0,4,27.5789,38
100,100,1359860,17420,14752,432,26,0,8,0,40800,15,0,0,30,104.541,22.6667,15,27.7778,54
100,100,1359860,17316,14764,444,33,0,8,0,44784,15,0,0,30,104.497,22.3182,22,27.3418,79
100,100,1359860,16848,14796,414,13,0,3,0,18120,15,0,0,30,0,0,4,27.5294,17
100,100,1223874,15860,13264,411,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,16900,14752,459,6,0,3,0,16264,15,0,0,0,104.545,23,6,27,6
100,100,1359860,17056,14744,457,16,0,4,0,20400,15,0,0,30,0,0,6,27.7576,33
100,100,1359860,17264,14756,427,19,0,5,0,24536,15,0,0,30,104.533,22.3333,12,27.7143,28
100,100,1223874,15340,13308,435,16,0,4,0,20400,15,0,0,30,104.537,22.4444,9,27.7647,34
100,100,1359860,17368,14748,453,16,0,4,0,21552,15,0,0,30,104.421,22.375,8,27.8182,33
100,100,1359860,17368,14756,480,32,0,9,0,48792,15,0,0,30,104.537,22.5714,21,27.7576,66
100,100,1359860,17160,14776,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,1312492,15548,14188,420,2,0,0,0,0,15,0,0,0,0,0,0,28,19
100,100,1271242,17524,13860,468,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17576,14760,439,16,0,4,0,21552,15,0,0,30,104.457,22.25,8,27.697,33
100,100,1359860,16900,14744,436,16,0,4,0,19376,15,0,0,30,104.533,22,8,27.7647,34
100,100,1312492,14820,14236,396,26,0,4,0,20400,15,0,0,30,104.542,22.6,10,27.7455,55
100,100,1271242,17160,13784,438,16,0,5,0,28392,15,0,0,30,104.544,22.9231,13,27.7647,34
100,100,1359860,16380,14780,438,32,0,8,0,40928,15,0,0,30,104.492,22.1429,21,27.6765,68
100,100,1359860,17264,14744,472,32,0,8,0,43760,15,0,0,30,104.035,22.1579,19,27.7222,72
100,100,1359860,17368,14772,447,16,0,3,0,16264,15,0,0,30,104.551,23,6,27.7143,35
100,100,1223874,15184,13288,423,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17316,14764,441,8,0,4,0,19376,15,0,0,30,0,0,7,25.5385,13
100,100,1359860,17264,14784,489,16,0,5,0,28392,15,0,0,30,104.543,22.8,10,27.7714,35
100,100,1359860,16328,14748,469,22,0,8,0,46464,15,0,0,30,104.545,22.7059,17,27.8421,38
100,100,1223874,15392,13276,428,16,0,4,0,20400,15,0,0,30,104.536,22.25,8,27.8387,31
100,100,1359860,17368,14784,486,16,0,5,0,28520,15,0,0,30,104.462,22.25,12,27.7714,35
100,100,1359860,17784,14744,468,32,0,8,0,46640,15,0,0,30,104.517,22.4667,15,27.7812,64
100,100,1359860,17316,14756,471,0,0,1,0,4136,15,0,0,0,0,0,2,0,0
100,100,1312492,15912,14216,399,8,0,0,0,0,15,0,0,0,0,0,0,27.8,20
100,100,1271242,17524,13808,477,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17316,14764,489,17,0,4,0,22208,15,0,0,30,104.544,22,9,27.7879,33
100,100,1359860,17264,14752,455,16,0,5,0,28392,15,0,0,30,104.542,22.7273,11,27.7838,37
100,100,1312492,15132,14240,426,26,0,4,0,21552,15,0,0,30,104.486,22.1429,7,27.8113,53
100,100,1271242,17056,13808,453,16,0,5,0,26344,15,0,0,30,0,0,8,27.8125,32
100,100,1359860,17316,14768,435,32,0,8,0,39776,15,0,0,30,104.539,22.25,16,27.7846,65
100,100,1359860,17576,14776,459,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,16692,14768,463,17,0,4,0,19808,15,0,0,30,103.639,21.5556,9,26.9091,33
100,100,1223874,15132,13292,406,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,18304,14776,474,16,0,4,0,20400,15,0,0,30,104.537,22.5714,7,27.7576,33
100,100,1359860,16744,14764,471,16,0,5,0,33528,15,0,0,30,104.412,22.4167,12,27.8065,31
100,100,1359860,18356,14764,461,22,0,8,0,43104,15,0,0,30,0,0,14,27.7674,43
100,100,1312492,15548,13392,462,16,0,5,0,28392,15,0,0,30,104.542,22.8,10,27.7059,34
100,100,1271242,17784,14672,443,18,0,6,0,28672,15,0,0,30,104.531,22.2353,17,27.7297,37
100,100,1359860,17784,14744,495,32,0,11,0,64072,15,0,0,30,104.384,22.12,25,27.8125,64
100,100,1359860,17420,14860,476,6,0,4,0,26560,15,0,0,0,104.398,22.4444,9,27.3333,6
100,100,1312492,15756,14340,417,7,0,0,0,0,15,0,0,0,0,0,0,27.9,20
100,100,1271242,17524,13820,471,0,0,1,0,4136,15,0,0,0,0,0,2,0,0
100,100,1359860,16952,14796,474,17,0,5,0,28392,15,0,0,30,104.542,22.8,10,27.6571,35
100,100,1359860,17160,14804,468,18,0,4,0,22256,15,0,0,30,0,0,4,27.7941,34
100,100,1359860,16900,14596,411,28,0,6,0,34832,15,0,0,30,104.431,22.3333,15,27.7377,61
100,100,1223874,15756,13504,412,16,0,4,0,20400,15,0,0,30,104.543,22.6667,9,27.75,40
100,100,1359860,17940,14764,474,32,0,8,0,43104,15,0,0,30,104.163,22.2778,18,27.7463,67
100,100,1359860,17264,14748,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,1359860,17056,14748,483,16,0,3,0,16264,15,0,0,30,104.544,22.6667,9,27.6667,36
100,100,1223874,15496,13320,417,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17784,14768,455,16,0,4,0,20400,15,0,0,30,104.537,22.25,8,27.7419,31
100,100,1359860,17628,14856,460,16,0,4,0,21552,15,0,0,30,104.445,22.3,10,27.6842,38
100,100,1359860,16900,14752,478,32,0,10,0,56624,15,0,0,30,104.386,22.1818,22,27.7746,71
100,100,1312492,15808,13868,453,16,0,4,0,21552,15,0,0,30,104.454,22.25,8,27.7872,47
100,100,1271242,17264,14160,453,24,0,9,0,50072,15,0,0,30,104.498,22.1333,15,26.2545,55
100,100,1359860,17264,14772,429,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17576,14744,468,8,0,4,0,19376,15,0,0,30,104.541,22,11,27.6923,13
100,100,1339528,15496,14340,448,10,0,1,0,4136,15,0,0,30,0,0,1,27.8261,23
100,100,1244206,16224,13708,424,6,0,3,0,16264,15,0,0,0,104.543,23.2,5,27,6
100,100,1359860,17420,14740,447,16,0,4,0,20400,15,0,0,30,104.537,22.2857,7,27.7647,34
100,100,1359860,16432,14732,468,16,0,5,0,23512,15,0,0,30,104.538,22,13,27.7561,41
100,100,1359860,17212,14752,450,31,0,8,0,46960,15,0,0,30,104.47,22.5556,18,27.7612,67
100,100,1223874,16016,13264,408,16,0,4,0,21552,15,0,0,30,104.454,22.25,12,27.6364,33
