available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,80,1056081567,7783755,11384912,175772,66,2,13,0,75800,15,0,0,40,39.2695,22.6053,38,27.8992,129
100,100,80,23264066,380288,251412,7448,130,2,22,0,179696,15,0,0,40,39.1432,22.6591,44,27.814,258
100,100,80,23254412,312728,250984,6190,258,4,40,0,313512,15,0,0,40,39.0957,22.7746,71,27.8718,507
100,100,80,23237780,136656,249444,3224,408,2,70,0,225416,15,0,0,40,38.7809,20.2636,110,27.9679,810
100,100,80,21935208,124696,234936,3287,38,0,10,0,24168,15,0,0,40,37.8089,16.5455,22,28,79
100,100,80,21673860,124272,234208,3033,96,1,22,0,51768,15,0,0,40,38.1125,18.1702,47,28,202
100,100,80,21809040,122876,234552,2986,153,2,21,0,74872,15,0,0,40,38.6673,21.7174,46,28,307
100,100,80,21872124,124660,234928,2993,210,4,50,0,121768,15,0,0,40,37.6648,16.0978,92,28,420
100,100,80,21657338,122724,234368,3013,271,2,78,0,163528,15,0,0,40,37.7685,14.9733,150,28,523
100,100,80,21930702,123812,235288,3086,20,0,2,0,8272,15,0,0,0,39.3066,22,4,28,42
100,100,80,21836076,124472,235312,3026,75,1,10,0,36544,15,0,0,40,39.0871,21.6667,18,28,148
100,100,80,21872124,125100,235540,3124,135,2,36,0,82752,15,0,0,40,37.8365,16.6795,78,28,263
100,100,80,21885642,123812,235128,3138,192,2,32,0,103072,15,0,0,40,38.6503,21.8269,52,28,373
100,100,80,21953232,124656,235248,3024,251,3,68,0,145248,15,0,0,40,37.6756,16.2153,144,28,517
100,100,80,21782004,123368,235128,3160,309,4,80,0,183280,15,0,0,40,37.9466,16.9221,154,28,640
100,100,80,21346424,202332,230400,4172,54,1,6,0,24816,15,0,0,40,39.3994,22,12,28,108
100,100,80,21516150,237924,230400,4672,108,0,18,0,126864,15,0,0,40,39.705,22.6667,36,28,216
100,100,80,21435042,198344,230400,3953,162,1,36,0,92544,15,0,0,40,37.9932,16.9315,73,28,324
100,100,80,21462078,126308,230400,2552,216,1,38,0,199424,15,0,0,40,39.3262,21.9796,98,28,432
100,100,80,21543186,280872,232572,5478,290,0,45,0,328552,15,0,0,40,39.5595,22.7,90,28,580
100,100,80,21827064,289952,235000,5701,39,0,9,0,51864,15,0,0,40,39.5168,22.0455,22,28,83
100,100,80,21957738,292176,235468,5638,95,1,14,0,98896,15,0,0,40,39.9877,22.5517,29,28,193
100,100,80,21813546,156812,235064,3754,154,0,37,0,87048,15,0,0,40,37.9662,17.2333,90,28,309
100,100,80,21881136,122928,234772,3196,210,1,37,0,112144,15,0,0,40,38.5912,19.6824,85,28,419
100,100,80,21745956,143800,234992,3553,264,1,49,0,140296,15,0,0,40,38.295,18.0104,96,28,521
100,100,80,22007304,124904,235292,3145,326,1,66,0,183776,15,0,0,40,38.212,18.7236,123,28,638
100,100,80,21881136,127088,235444,3314,18,0,2,0,9296,15,0,0,0,39.076,20.8,5,28,36
100,100,80,21840582,124844,234976,3280,76,1,31,0,50912,15,0,0,40,37.2352,14.2381,63,28,155
100,100,80,21777498,125752,234900,2964,135,2,20,0,70176,15,0,0,40,38.6328,21.6765,34,28,262
100,100,80,21876630,175032,235500,4139,193,1,37,0,239824,15,0,0,40,39.6853,22.0517,58,28,371
100,100,80,21900662,335476,234880,6566,251,2,43,0,320200,15,0,0,40,39.4907,22.5604,91,28,520
100,100,80,21897658,338624,235016,6608,308,0,47,0,399744,15,0,0,40,39.5407,22.75,96,28,643
100,100,80,21867618,329680,234712,6447,480,7,83,0,606960,15,0,0,40,39.4637,22.3812,181,28,948
100,100,80,21962244,327020,235076,6383,56,3,9,0,76488,15,0,0,40,38.8847,22.6667,18,28,112
100,100,80,21705402,320912,235332,6362,115,0,17,0,151696,15,0,0,40,39.7088,22.7429,35,28,240
100,100,80,22025328,333892,234964,6506,173,1,34,0,233592,15,0,0,40,39.3911,22.4364,55,28,358
100,100,80,21682872,320516,234824,6279,227,3,37,0,244376,15,0,0,40,39.3647,22.2568,74,28,457
100,100,80,21966750,332748,235604,6466,289,1,48,0,380016,15,0,0,40,39.6255,22.7097,93,28,580
100,100,80,22010308,331424,234972,6478,405,1,65,0,532056,15,0,0,40,39.5959,22.6343,134,28,781
100,100,80,21765482,283272,234236,5665,35,5,6,0,31312,15,0,0,40,39.4596,22.1,10,28,71
100,100,80,21220256,276680,230996,5509,94,1,14,0,98896,15,0,0,40,39.6592,22.6,25,28,187
100,100,80,21840582,288808,234708,5688,151,1,25,0,149928,15,0,0,40,39.4877,22.2545,55,28,304
100,100,80,21687378,264580,234200,5292,210,1,39,0,202248,15,0,0,40,39.2305,21.9651,86,28,419
100,100,80,21903666,277836,234536,5455,269,1,41,0,309416,15,0,0,40,39.3848,22.8481,79,28,519
100,100,80,21833072,277136,234484,5493,323,2,56,0,401408,15,0,0,40,39.2379,22.6168,107,28,635
100,100,80,21804534,286936,234960,5599,382,1,70,0,405440,15,0,0,40,39.4771,22.2349,149,28,779
100,100,80,21754968,262088,234420,5288,76,0,17,0,74856,15,0,0,40,38.9061,21.8235,51,28,154
100,100,80,21930702,271076,234212,5361,134,1,23,0,135992,15,0,0,40,39.4027,22.2381,42,28,281
100,100,80,30460560,376636,329172,7577,493,2,42,0,581936,15,0,0,40,38.466,22.6905,84,28,985
