available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,81,150,85044,46896,1802,17,0,7,0,23944,15,0,0,40,36.4468,21.9333,,,
100,100,81,150,13000,7640,276,18,0,7,0,22088,15,0,0,40,35.9782,21.8462,,,
100,100,81,150,13156,7664,256,0,0,0,0,0,15,0,0,0,0,0,,,
100,100,81,150,10868,6532,223,5,0,2,0,4544,15,0,0,40,0,0,,,
100,100,81,150,12844,7636,276,18,1,8,0,27584,15,0,0,40,36.3917,21.75,,,
100,100,81,150,12948,7536,258,18,0,8,0,22992,15,0,0,40,34.865,21.6667,,,
100,100,81,150,12844,7516,259,17,0,8,0,22400,15,0,0,40,34.9349,21.5,,,
100,100,81,150,12584,7652,256,17,0,7,0,21608,15,0,0,40,34.7607,21.6,,,
100,100,81,150,12948,7552,251,6,0,4,0,13312,15,0,0,40,35.5397,22,,,
100,100,81,150,13208,7752,269,17,0,7,0,24552,15,0,0,40,36.2745,22.2143,,,
100,100,81,150,13104,7536,253,18,0,8,0,23376,15,0,0,40,34.9619,21.6667,,,
100,100,81,150,12896,7592,277,17,0,8,0,29152,15,0,0,40,36.4005,21.8333,,,
100,100,81,150,11440,7256,231,11,0,4,0,10064,15,0,0,40,34.3865,21.4,,,
100,100,81,150,13208,7656,269,18,0,7,0,24792,15,0,0,40,34.9552,21.3846,,,
100,100,81,150,13000,7612,260,18,1,7,0,23944,15,0,0,40,36.1514,21.9333,,,
100,100,81,150,13000,7668,278,17,0,8,0,28544,15,0,0,40,35.0834,21.5714,,,
100,100,81,150,13156,7568,262,19,1,7,0,24792,15,0,0,40,36.0505,21.5714,,,
100,100,81,150,13052,7560,269,15,0,7,0,23944,15,0,0,40,36.1538,22,,,
100,100,81,150,12844,7652,298,17,0,8,0,28544,15,0,0,40,35.1826,21.5714,,,
100,100,81,150,12896,7696,264,18,0,8,0,22992,15,0,0,40,35.2999,21.75,,,
100,100,81,150,13156,7576,273,14,1,5,0,20248,15,0,0,40,37.1786,21.4545,,,
100,100,81,150,11388,7256,246,11,0,4,0,10064,15,0,0,40,34.9813,21.75,,,
100,100,81,150,12896,7636,267,17,0,8,0,28544,15,0,0,40,36.2828,21.875,,,
100,100,81,150,12844,7536,272,18,0,7,0,24312,15,0,0,40,34.9937,21.3846,,,
100,100,81,150,12948,7540,270,18,0,7,0,23944,15,0,0,40,36.0569,21.9333,,,
100,100,81,150,13104,7564,261,19,1,7,0,23944,15,0,0,40,36.2298,21.9333,,,
100,100,81,150,10140,6220,209,2,0,0,0,0,15,0,0,0,0,0,,,
100,100,81,150,13104,7532,263,18,1,7,0,24792,15,0,0,40,36.3279,21.3333,,,
100,100,81,150,13052,7548,265,17,0,7,0,24792,15,0,0,40,36.1544,21.5714,,,
100,100,81,150,13156,7500,267,16,0,8,0,22880,15,0,0,40,34.1259,21.3333,,,
100,100,81,150,13000,7556,259,17,1,8,0,22992,15,0,0,40,35.6098,21.8571,,,
100,100,81,150,13052,7516,260,18,0,7,0,23944,15,0,0,40,34.7641,21.6154,,,
100,100,81,150,13104,7556,266,17,0,8,0,22992,15,0,0,40,35.5797,21.75,,,
100,100,81,150,13052,7572,260,19,1,7,0,24792,15,0,0,40,36.2003,21.5714,,,
100,100,81,150,13000,7672,289,17,0,8,0,29152,15,0,0,40,36.0292,22.0625,,,
100,100,81,150,10192,6404,229,2,0,0,0,0,15,0,0,0,0,0,,,
