available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,63620246,552094,690340,13378,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8580,7628,196,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8320,7572,193,17,0,6,0,17360,15,0,0,30,104.296,21.1429,14,27.6129,31
100,100,494930,8372,7568,198,17,0,6,0,18336,15,0,0,30,104.378,21.5714,14,27.619,42
100,100,464084,8060,7228,196,10,0,4,0,10064,15,0,0,30,0,0,6,27.4194,31
100,100,389790,7384,6368,159,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8476,7564,189,12,0,3,0,9176,15,0,0,30,0,0,5,27.5882,17
100,100,494930,8268,7548,191,17,0,7,0,17768,15,0,0,30,0,0,11,27.5625,32
100,100,494930,8580,7596,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,494930,8216,7584,188,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8788,7556,194,6,0,3,0,8680,15,0,0,30,104.396,21.5,8,27.4,10
100,100,494930,8372,7572,219,18,0,7,0,20408,15,0,0,30,104.344,21.1333,15,27.3784,37
100,100,494930,8372,7580,192,17,0,5,0,13224,15,0,0,30,104.283,21.0909,11,27.4412,34
100,100,373964,6916,6228,155,2,0,0,0,0,15,0,0,0,0,0,0,27.4,5
100,100,479910,8268,7392,201,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8788,7588,235,20,0,14,0,30720,15,0,0,30,104.341,18.0645,31,26.0256,39
100,100,494930,8736,7580,200,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8528,7604,196,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8632,7572,196,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8528,7576,195,17,0,6,0,17360,15,0,0,30,104.396,21.5,12,27.4286,35
100,100,494930,8788,7572,195,19,0,6,0,17856,15,0,0,30,104.421,21.6667,12,26.8421,38
100,100,444558,7696,6968,192,6,0,3,0,8680,15,0,0,30,104.258,21,6,27.7619,21
100,100,409316,7800,6660,173,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8736,7588,204,15,0,7,0,21496,15,0,0,30,104.297,21.1429,14,27.6429,28
100,100,494930,8528,7588,196,17,0,6,0,17360,15,0,0,30,104.361,21.3846,13,27.5676,37
100,100,494930,8632,7544,199,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8684,7568,206,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,494930,8580,7564,208,15,0,5,0,13224,15,0,0,30,104.395,21.5,8,27.5,24
100,100,494930,8788,7560,209,17,0,6,0,18336,15,0,0,30,104.391,21.5385,13,27.5882,34
100,100,494930,8424,7584,194,18,0,5,0,13720,15,0,0,30,104.418,21.8182,11,27.4722,36
100,100,401000,7904,6536,164,2,0,1,0,4136,15,0,0,30,0,0,2,27.7273,11
100,100,452874,8632,7108,195,0,0,1,0,3112,15,0,0,0,0,0,2,0,0
